,verb,stemlem,pos1,my_subj,my_valence,strength
502,excellent,excel,anypos,2,1.0,1.0
503,exceptional,except,anypos,2,1.0,1.0
504,excite,excit,verb,1,1.0,0.0
505,exclaim,exclaim,verb,2,-1.0,0.0
506,exclude,exclud,verb,1,-1.0,0.0
507,excruciating,excruci,anypos,2,-1.0,0.0
508,excuse,excus,verb,1,1.0,0.0
509,exhaust,exhaust,verb,1,-1.0,0.0
510,exhilarating,exhilar,anypos,2,1.0,1.0
511,exhort,exhort,verb,2,-1.0,1.0
512,exile,exil,verb,1,-1.0,0.0
513,exonerate,exoner,verb,2,1.0,0.0
514,expel,expel,verb,1,-1.0,0.0
515,expire,expir,verb,2,-1.0,1.0
516,explode,explod,verb,1,-1.0,1.0
517,exploit,exploit,verb,2,-1.0,0.0
518,expose,expos,verb,1,-1.0,0.0
519,expound,expound,verb,1,0.0,1.0
520,exterminate,extermin,verb,2,-1.0,1.0
521,extinguish,extinguish,verb,1,-1.0,0.0
522,extol,extol,verb,2,1.0,0.0
523,extort,extort,verb,1,-1.0,0.0
524,extraordinary,extraordinari,anypos,2,1.0,1.0
525,extreme,extrem,anypos,2,-1.0,1.0
526,extremely,extrem,anypos,2,-1.0,1.0
527,fabricate,fabric,verb,1,-1.0,1.0
528,facilitate,facilit,verb,1,1.0,0.0
529,fact,fact,anypos,2,0.0,0.0
530,facts,fact,anypos,2,0.0,0.0
531,factual,factual,anypos,1,0.0,0.0
532,fail,fail,verb,1,-1.0,0.0
533,fall,fall,verb,1,-1.0,0.0
534,false,fals,anypos,2,-1.0,0.0
535,falsely,fals,anypos,2,-1.0,0.0
536,falsify,falsifi,verb,2,-1.0,0.0
537,falter,falter,verb,2,-1.0,0.0
538,familiar,familiar,anypos,1,0.0,0.0
539,fancy,fanci,verb,2,1.0,0.0
540,fantastic,fantast,anypos,2,1.0,1.0
541,farcical,farcic,anypos,2,-1.0,0.0
542,fascinate,fascin,verb,2,1.0,1.0
543,fascinating,fascin,anypos,2,1.0,1.0
544,fascination,fascin,anypos,2,1.0,1.0
545,fascist,fascist,anypos,2,-1.0,0.0
546,fathom,fathom,verb,1,1.0,0.0
547,fault,fault,verb,2,-1.0,0.0
548,favor,favor,verb,2,1.0,0.0
549,favorable,favor,anypos,2,1.0,1.0
550,faze,faze,verb,1,-1.0,0.0
551,fear,fear,verb,2,-1.0,0.0
552,fearfully,fear,anypos,2,-1.0,0.0
553,feel,feel,anypos,2,0.0,0.0
554,felt,feel,verb,2,0.0,0.0
555,feeling,feel,verb,2,0.0,0.0
556,feign,feign,verb,1,-1.0,0.0
557,fib,fib,verb,2,-1.0,0.0
558,finally,final,anypos,2,0.0,0.0
559,fine,fine,verb,1,-1.0,0.0
560,flabbergast,flabbergast,verb,2,-1.0,0.0
561,flabbergasted,flabbergast,anypos,2,-1.0,0.0
562,flagrant,flagrant,anypos,2,-1.0,0.0
563,flashy,flashi,anypos,1,-1.0,1.0
564,flatter,flat,verb,2,1.0,0.0
565,flaunt,flaunt,verb,2,-1.0,0.0
566,flirt,flirt,verb,2,-1.0,0.0
567,flirty,flirti,anypos,2,-1.0,0.0
568,floor,floor,verb,1,0.0,0.0
569,flounder,flounder,verb,2,-1.0,0.0
570,fool,fool,anypos,2,-1.0,0.0
571,foolish,foolish,anypos,2,-1.0,0.0
572,force,forc,verb,1,-1.0,1.0
573,forfeit,forfeit,verb,1,-1.0,0.0
574,forget,forget,verb,2,-1.0,0.0
575,forgetful,forget,anypos,2,-1.0,0.0
576,forgive,forgiv,verb,2,1.0,0.0
577,forgiving,forgiv,anypos,2,1.0,0.0
578,forsake,forsak,verb,2,-1.0,0.0
579,forsaken,forsak,anypos,2,-1.0,0.0
580,fortunate,fortun,anypos,2,1.0,1.0
581,foul,foul,verb,1,-1.0,0.0
582,fracture,fractur,verb,1,-1.0,0.0
583,frantically,frantic,anypos,2,-1.0,1.0
584,freak,freak,verb,2,-1.0,0.0
585,freakish,freakish,anypos,2,-1.0,0.0
586,freakish,freakish,anypos,2,-1.0,0.0
587,fret,fret,verb,2,-1.0,0.0
588,fright,fright,anypos,2,-1.0,0.0
589,frighten,frighten,verb,2,-1.0,0.0
590,frolic,frolic,verb,2,1.0,0.0
591,fumble,fumbl,verb,1,-1.0,0.0
592,fun,fun,verb,2,-1.0,0.0
593,frustrate,frustrat,verb,2,-1.0,0.0
594,frustrating,frustrat,anypos,2,-1.0,0.0
595,fudge,fudg,verb,2,-1.0,0.0
596,fume,fume,verb,2,-1.0,0.0
597,funny,funni,anypos,2,1.0,0.0
598,furiously,furious,anypos,2,-1.0,0.0
599,fuss,fuss,verb,2,-1.0,0.0
600,fussy,fussi,anypos,2,-1.0,0.0
601,gain,gain,verb,1,1.0,1.0
602,gaga,gaga,anypos,2,-1.0,0.0
603,gaggle,gaggl,verb,2,-1.0,0.0
604,gall,gall,verb,2,-1.0,0.0
605,galore,galor,anypos,2,1.0,1.0
606,gamble,gambl,verb,1,-1.0,0.0
607,gape,gape,verb,2,-1.0,0.0
608,gawk,gawk,verb,2,-1.0,0.0
609,geezer,geezer,anypos,2,-1.0,0.0
610,gibberish,gibberish,anypos,2,-1.0,0.0
611,glare,glare,verb,2,-1.0,1.0
612,glean,glean,verb,2,0.0,0.0
613,gleeful,gleeful,anypos,2,1.0,0.0
614,glimmer,glimmer,verb,2,1.0,0.0
615,glisten,glisten,verb,2,1.0,0.0
616,glitter,glitter,verb,2,1.0,1.0
617,glorify,glorifi,verb,2,1.0,0.0
618,glory,glori,verb,2,1.0,1.0
619,gloss,gloss,verb,2,-1.0,0.0
620,glow,glow,verb,2,1.0,1.0
621,glowing,glow,anypos,2,1.0,1.0
622,goddamn,goddamn,anypos,2,-1.0,0.0
623,godlike,godlik,anypos,2,1.0,1.0
624,good,good,anypos,1,1.0,0.0
625,goof,goof,verb,2,-1.0,0.0
626,gossip,gossip,verb,2,-1.0,0.0
627,grapple,grappl,verb,1,-1.0,0.0
628,grate,grate,verb,2,-1.0,0.0
629,grateful,grate,anypos,2,1.0,0.0
630,gratify,gratifi,verb,2,1.0,1.0
631,gratifying,gratifi,anypos,2,1.0,1.0
632,greet,greet,verb,2,1.0,0.0
633,grieve,griev,verb,2,-1.0,0.0
634,grievous,grievous,anypos,2,-1.0,0.0
635,grill,grill,verb,1,-1.0,0.0
636,grin,grin,anypos,2,1.0,0.0
637,gripe,gripe,verb,2,-1.0,0.0
638,groove,groov,verb,1,1.0,0.0
639,grouse,grous,verb,2,-1.0,0.0
640,growl,growl,verb,2,-1.0,0.0
641,grudge,grudg,anypos,2,-1.0,0.0
642,grudging,grudg,anypos,2,-1.0,0.0
643,grudgingly,grudg,anypos,2,-1.0,0.0
644,gruesome,gruesom,anypos,2,-1.0,0.0
645,grumble,grumbl,verb,2,-1.0,0.0
646,guarantee,guarante,verb,1,1.0,1.0
647,gush,gush,verb,1,1.0,0.0
648,haggle,haggl,verb,2,-1.0,0.0
649,hail,hail,verb,2,1.0,0.0
650,hamper,hamper,verb,2,-1.0,0.0
651,hamstring,hamstr,verb,2,-1.0,0.0
652,harass,harass,verb,1,-1.0,0.0
653,harden,harden,verb,1,-1.0,0.0
654,harmoniously,harmoni,anypos,2,1.0,0.0
655,harmonize,harmon,verb,2,1.0,0.0
656,hate,hate,verb,2,-1.0,0.0
657,haunt,haunt,verb,1,-1.0,0.0
658,hazard,hazard,verb,1,-1.0,1.0
659,heal,heal,verb,1,1.0,0.0
660,heavenly,heaven,anypos,2,1.0,1.0
661,hedge,hedg,verb,2,-1.0,0.0
662,help,help,verb,1,1.0,0.0
663,herald,herald,anypos,2,1.0,0.0
664,heroic,heroic,anypos,2,1.0,1.0
665,highlight,highlight,verb,2,1.0,1.0
666,hinder,hinder,verb,2,-1.0,0.0
667,hoard,hoard,verb,2,-1.0,0.0
668,hoax,hoax,verb,2,-1.0,0.0
669,honor,honor,verb,2,1.0,1.0
670,honorable,honor,anypos,2,1.0,1.0
671,hope,hope,verb,2,1.0,1.0
672,hopeful,hope,anypos,2,1.0,0.0
673,horrible,horribl,anypos,2,-1.0,0.0
674,horribly,horribl,anypos,2,-1.0,0.0
675,horrifying,horrifi,anypos,2,-1.0,0.0
676,humble,humbl,verb,2,1.0,0.0
677,humiliate,humili,verb,2,-1.0,0.0
678,humor,humor,verb,2,1.0,0.0
679,humorous,humor,anypos,2,1.0,0.0
680,hunger,hunger,verb,2,-1.0,0.0
681,hurt,hurt,verb,1,-1.0,0.0
682,hypnotize,hypnot,verb,1,0.0,0.0
683,hysterical,hyster,anypos,2,-1.0,0.0
684,idiocy,idioci,anypos,2,-1.0,0.0
685,idiot,idiot,anypos,2,-1.0,0.0
686,idiotic,idiot,anypos,2,-1.0,0.0
687,idiots,idiot,anypos,2,-1.0,0.0
688,idyllic,idyl,anypos,2,1.0,0.0
689,ignite,ignit,verb,1,0.0,0.0
690,ignore,ignor,verb,1,-1.0,0.0
691,illuminate,illumin,verb,2,1.0,1.0
692,illuminating,illumin,anypos,2,1.0,1.0
693,imagine,imagin,verb,2,0.0,0.0
694,imbecile,imbecil,anypos,2,-1.0,0.0
695,immediately,immedi,anypos,2,0.0,1.0
696,impair,impair,verb,2,-1.0,0.0
697,impeach,impeach,verb,2,-1.0,0.0
698,impede,imped,verb,2,-1.0,0.0
699,implicate,implic,verb,1,-1.0,0.0
700,imply,impli,verb,2,0.0,0.0
701,impose,impos,verb,2,-1.0,1.0
702,impress,impress,verb,1,1.0,1.0
703,imprison,imprison,verb,1,-1.0,0.0
704,improve,improv,verb,1,1.0,1.0
705,improvise,improvis,verb,2,1.0,0.0
706,incendiary,incendiari,anypos,2,-1.0,0.0
707,incense,incens,verb,1,-1.0,0.0
708,incite,incit,verb,1,-1.0,0.0
709,inconvenient,inconveni,anypos,2,-1.0,0.0
710,incorrect,incorrect,anypos,1,-1.0,0.0
711,incredible,incred,anypos,2,1.0,1.0
712,indiscretion,indiscret,anypos,2,-1.0,0.0
713,indulge,indulg,verb,2,-1.0,0.0
714,ineptitude,ineptitud,anypos,2,-1.0,0.0
715,infer,infer,verb,2,0.0,0.0
716,inflict,inflict,verb,2,-1.0,0.0
717,infuriate,infuri,verb,2,-1.0,0.0
718,infuriating,infuri,anypos,2,-1.0,0.0
719,inhibit,inhibit,verb,1,-1.0,0.0
720,injure,injur,verb,1,-1.0,0.0
721,inkling,inkl,anypos,2,0.0,0.0
722,insightful,insight,anypos,2,1.0,1.0
723,insinuate,insinu,verb,2,-1.0,0.0
724,insist,insist,verb,2,-1.0,0.0
725,insolence,insol,anypos,2,-1.0,0.0
726,inspire,inspir,verb,2,1.0,1.0
727,instigate,instig,verb,2,-1.0,0.0
728,insult,insult,verb,2,-1.0,0.0
729,insulting,insult,anypos,2,-1.0,0.0
730,intend,intend,verb,1,0.0,0.0
731,intercede,interced,verb,1,1.0,0.0
732,interest,interest,verb,1,1.0,0.0
733,interesting,interest,anypos,2,1.0,1.0
734,interfere,interfer,verb,1,-1.0,0.0
735,interrupt,interrupt,verb,1,-1.0,0.0
736,intimate,intim,verb,2,0.0,0.0
737,intimidate,intimid,verb,1,-1.0,0.0
738,intimidating,intimid,anypos,2,-1.0,1.0
739,intolerant,intoler,anypos,2,-1.0,0.0
740,intrigue,intrigu,verb,1,0.0,0.0
741,intriguing,intrigu,anypos,2,1.0,0.0
742,intrude,intrud,verb,2,-1.0,0.0
743,invalidate,invalid,verb,2,-1.0,0.0
744,invigorate,invigor,verb,1,1.0,1.0
745,irony,ironi,anypos,2,-1.0,0.0
746,irritate,irrit,verb,2,-1.0,0.0
747,irritating,irrit,anypos,2,-1.0,0.0
748,isolate,isol,verb,1,-1.0,0.0
749,itch,itch,verb,2,-1.0,0.0
750,jabber,jabber,verb,2,-1.0,0.0
751,jar,jar,verb,1,-1.0,0.0
752,jeering,jeer,anypos,2,-1.0,0.0
753,jeopardize,jeopard,verb,2,-1.0,0.0
754,jerk,jerk,anypos,2,-1.0,0.0
755,jest,j,verb,2,1.0,0.0
756,joke,joke,verb,2,1.0,0.0
757,jolly,jolli,anypos,2,1.0,1.0
758,jolt,jolt,verb,1,-1.0,0.0
759,joyous,joyous,anypos,2,1.0,1.0
760,justify,justifi,verb,2,1.0,0.0
761,keen,keen,verb,2,-1.0,1.0
762,kid,kid,verb,2,1.0,0.0
763,kill,kill,verb,1,-1.0,1.0
764,kiss,kiss,verb,1,1.0,0.0
765,knife,knife,verb,1,-1.0,0.0
766,knock,knock,verb,1,-1.0,0.0
767,know,know,verb,2,0.0,1.0
768,knowing,know,anypos,2,0.0,0.0
769,knowingly,know,anypos,2,0.0,0.0
770,knowledgeable,knowledg,anypos,2,1.0,1.0
771,lackluster,lacklust,anypos,2,-1.0,0.0
772,lag,lag,verb,1,-1.0,0.0
773,lament,lament,verb,2,-1.0,0.0
774,languish,languish,verb,2,-1.0,0.0
775,lark,lark,verb,2,1.0,0.0
776,laud,laud,verb,2,1.0,0.0
777,laudable,laudabl,anypos,2,1.0,0.0
778,laugh,laugh,verb,2,-1.0,0.0
779,laughable,laughabl,anypos,2,-1.0,0.0
780,lavish,lavish,verb,2,1.0,1.0
781,leak,leak,verb,1,-1.0,0.0
782,lecture,lectur,verb,1,-1.0,1.0
783,leech,leech,verb,2,-1.0,0.0
784,leer,leer,verb,2,-1.0,0.0
785,lessen,lessen,verb,1,-1.0,0.0
786,lesser,less,anypos,1,-1.0,0.0
787,leverage,leverag,verb,1,1.0,0.0
788,liberate,liber,verb,2,1.0,1.0
789,lie,lie,verb,1,-1.0,0.0
790,lighten,lighten,verb,1,1.0,0.0
791,like,like,verb,2,1.0,0.0
792,likely,like,anypos,1,0.0,0.0
793,likewise,likewis,anypos,2,0.0,0.0
794,limit,limit,verb,1,-1.0,0.0
795,livid,livid,anypos,2,-1.0,0.0
796,loathe,loath,verb,2,-1.0,0.0
797,loathing,loath,anypos,2,-1.0,0.0
798,long,long,verb,2,-1.0,0.0
799,look,look,anypos,1,0.0,0.0
800,loot,loot,verb,2,-1.0,0.0
801,lose,lose,verb,1,-1.0,0.0
802,love,love,verb,2,1.0,0.0
803,lovely,love,anypos,2,1.0,1.0
804,luckiest,lucki,anypos,2,1.0,1.0
805,lull,lull,verb,1,-1.0,0.0
806,lurch,lurch,verb,2,-1.0,0.0
807,lure,lure,verb,2,-1.0,0.0
808,lure,lure,verb,2,-1.0,0.0
809,lurk,lurk,verb,2,-1.0,0.0
810,luxurious,luxuri,anypos,2,1.0,1.0
811,lying,lie,anypos,2,-1.0,0.0
812,madden,madden,verb,2,-1.0,0.0
813,magnificence,magnific,anypos,2,1.0,1.0
814,magnificent,magnific,anypos,2,1.0,1.0
815,magnify,magnifi,verb,1,1.0,1.0
816,malign,malign,verb,2,-1.0,0.0
817,mangle,mangl,verb,2,-1.0,0.0
818,manipulate,manipul,verb,1,-1.0,1.0
819,mar,mar,verb,2,-1.0,0.0
820,marvel,marvel,verb,2,1.0,1.0
821,marvelous,marvel,anypos,2,1.0,1.0
822,marvelously,marvel,anypos,2,1.0,1.0
823,massacre,massacr,verb,2,-1.0,0.0
824,matter,matter,verb,1,0.0,0.0
825,maximize,maxim,verb,2,1.0,1.0
826,mean,mean,verb,1,0.0,0.0
827,meddle,meddl,verb,2,-1.0,0.0
828,menace,menac,verb,2,-1.0,1.0
829,menacing,menac,anypos,2,-1.0,0.0
830,mend,mend,verb,1,1.0,0.0
831,merciful,merci,anypos,2,1.0,0.0
832,mere,mere,anypos,2,-1.0,0.0
833,merit,merit,verb,2,1.0,1.0
834,mighty,mighti,anypos,2,1.0,1.0
835,mind,mind,verb,1,-1.0,0.0
836,mindless,mindless,anypos,2,-1.0,0.0
837,minister,minist,verb,1,1.0,1.0
838,mire,mire,verb,2,-1.0,0.0
839,misbehave,misbehav,verb,2,-1.0,0.0
840,mischievous,mischiev,anypos,2,-1.0,0.0
841,misconception,misconcept,anypos,2,-1.0,0.0
842,miserably,miser,anypos,2,-1.0,0.0
843,misery,miseri,anypos,2,-1.0,0.0
844,mislead,mislead,verb,2,-1.0,0.0
845,misleading,mislead,anypos,2,-1.0,0.0
846,misread,misread,verb,2,-1.0,0.0
847,misrepresent,misrepres,verb,2,-1.0,0.0
848,misrepresentation,misrepresent,anypos,2,-1.0,0.0
849,miss,miss,verb,1,-1.0,0.0
850,mistaken,mistak,verb,2,-1.0,0.0
851,misunderstand,misunderstand,verb,2,-1.0,0.0
852,misunderstood,misunderstood,verb,2,-1.0,0.0
853,misunderstanding,misunderstand,verb,2,-1.0,0.0
854,misuse,misus,verb,2,-1.0,0.0
855,moan,moan,verb,2,-1.0,0.0
856,mock,mock,verb,2,-1.0,0.0
857,molest,mol,verb,2,-1.0,0.0
858,moon,moon,verb,1,-1.0,0.0
859,mope,mope,verb,1,-1.0,0.0
860,motivate,motiv,verb,2,1.0,1.0
861,mourn,mourn,verb,2,-1.0,0.0
862,mournful,mourn,anypos,2,-1.0,0.0
863,move,move,verb,nosubj_eb,0.0,0.0
864,muddle,muddl,verb,1,-1.0,0.0
865,murder,murder,verb,1,-1.0,0.0
866,must,must,anypos,2,0.0,0.0
867,nag,nag,verb,2,-1.0,0.0
868,nauseate,nauseat,verb,1,-1.0,0.0
869,need,nee,verb,2,0.0,0.0
870,neglect,neglect,verb,2,-1.0,0.0
871,nettle,nettl,verb,1,-1.0,0.0
872,neutralize,neutral,verb,1,1.0,1.0
873,nix,nix,verb,2,-1.0,0.0
874,nonsense,nonsens,anypos,2,-1.0,0.0
875,notably,notabl,anypos,2,1.0,0.0
876,nourish,nourish,verb,1,1.0,0.0
877,numb,numb,verb,1,-1.0,0.0
878,nurture,nurtur,verb,2,1.0,0.0
879,obey,obey,verb,2,1.0,0.0
880,object,object,verb,2,-1.0,0.0
881,obliged,oblig,anypos,2,1.0,0.0
882,obliterate,obliter,verb,2,-1.0,0.0
883,obscure,obscur,verb,2,-1.0,0.0
884,obscurity,obscur,anypos,2,-1.0,0.0
885,obsess,obsess,verb,2,-1.0,0.0
886,obstruct,obstruct,verb,1,-1.0,0.0
887,obvious,obvious,anypos,1,0.0,0.0
888,odd,odd,anypos,1,-1.0,0.0
889,offend,offend,verb,2,-1.0,0.0
890,offensive,offens,anypos,1,-1.0,0.0
891,offset,offset,verb,1,1.0,1.0
892,omit,omit,verb,1,-1.0,0.0
893,oppose,oppos,verb,2,-1.0,0.0
894,oppress,oppress,verb,2,-1.0,0.0
895,ought,ought,anypos,2,0.0,0.0
896,outdo,outdo,verb,2,1.0,1.0
897,outrage,outrag,verb,2,-1.0,0.0
898,outrageous,outrag,anypos,2,-1.0,1.0
899,outsmart,outsmart,verb,2,1.0,1.0
900,outwit,outwit,verb,2,1.0,0.0
901,overcome,overcom,verb,2,-1.0,1.0
902,overdo,overdo,verb,2,-1.0,0.0
903,overlook,overlook,verb,2,-1.0,0.0
904,overpower,overpow,verb,1,-1.0,1.0
905,overrun,overrun,verb,1,-1.0,0.0
906,overshadow,overshadow,verb,1,-1.0,0.0
907,overstate,overst,anypos,2,-1.0,0.0
908,overthrow,overthrow,verb,1,-1.0,0.0
909,overturn,overturn,verb,1,-1.0,0.0
910,overwhelm,overwhelm,verb,1,-1.0,0.0
911,pacify,pacifi,verb,1,0.0,0.0
912,pain,pain,verb,1,-1.0,0.0
913,pamper,pamper,verb,1,1.0,0.0
914,pan,pan,verb,1,-1.0,0.0
915,panic,panic,verb,2,-1.0,0.0
916,pardon,pardon,verb,2,1.0,0.0
917,parody,parodi,verb,2,-1.0,0.0
918,patronize,patron,verb,2,-1.0,0.0
919,peculiar,peculiar,anypos,2,-1.0,0.0
920,peculiarly,peculiar,anypos,2,-1.0,0.0
921,perfect,perfect,anypos,2,1.0,1.0
922,perfect,perfect,verb,2,1.0,1.0
923,perish,perish,verb,2,-1.0,0.0
924,perplexing,perplex,anypos,2,-1.0,0.0
925,persecute,persecut,verb,2,-1.0,0.0
926,persevere,persever,verb,2,1.0,1.0
927,persuade,persuad,verb,2,1.0,1.0
928,pervert,pervert,verb,2,-1.0,0.0
929,perverted,pervert,anypos,2,-1.0,0.0
930,petrify,petrifi,verb,2,-1.0,0.0
931,pillage,pillag,verb,2,-1.0,0.0
932,pinch,pinch,verb,1,-1.0,0.0
933,pine,pine,verb,2,-1.0,0.0
934,pique,piqu,verb,1,-1.0,0.0
935,pity,piti,verb,2,-1.0,0.0
936,plague,plagu,verb,1,-1.0,0.0
937,pleasing,pleas,anypos,2,1.0,1.0
938,pleasurable,pleasur,anypos,2,1.0,0.0
939,pledge,pledg,verb,2,1.0,1.0
940,plenty,plenti,anypos,2,1.0,1.0
941,plot,plot,verb,2,-1.0,0.0
942,plunder,plunder,verb,2,-1.0,0.0
943,pollute,pollut,verb,1,-1.0,0.0
944,ponder,ponder,verb,2,0.0,0.0
945,possible,possibl,anypos,1,0.0,0.0
946,possibly,possibl,anypos,1,0.0,0.0
947,pout,pout,verb,2,-1.0,0.0
948,practically,practic,anypos,1,0.0,0.0
949,praise,prais,verb,2,1.0,0.0
950,pray,pray,verb,2,0.0,0.0
951,preach,preach,verb,2,1.0,1.0
952,precipitate,precipit,verb,2,-1.0,0.0
953,prefer,prefer,verb,2,1.0,0.0
954,preferable,prefer,anypos,2,1.0,0.0
955,press,press,verb,1,1.0,0.0
956,presume,presum,verb,2,-1.0,0.0
957,presumptuous,presumptu,anypos,2,-1.0,0.0
958,pretend,pretend,verb,2,-1.0,0.0
959,pretentious,pretenti,anypos,2,-1.0,0.0
960,pretty,pretti,anypos,2,1.0,0.0
961,prize,prize,verb,2,1.0,0.0
962,proclaim,proclaim,verb,2,0.0,1.0
963,procrastinate,procrastin,verb,2,-1.0,0.0
964,profane,profan,verb,2,-1.0,0.0
965,profess,profess,verb,2,1.0,0.0
966,profit,profit,verb,1,1.0,1.0
967,progress,progress,verb,1,1.0,1.0
968,prohibit,prohibit,verb,1,-1.0,0.0
969,prophesy,prophesi,verb,2,0.0,0.0
970,prosecute,prosecut,verb,2,-1.0,1.0
971,prosper,prosper,verb,2,1.0,1.0
972,protect,protect,verb,1,1.0,1.0
973,protest,protest,verb,2,-1.0,0.0
974,prove,prove,anypos,1,0.0,0.0
975,provoke,provok,verb,2,-1.0,1.0
976,pry,pri,verb,1,-1.0,0.0
977,punish,punish,verb,2,-1.0,0.0
978,purify,purifi,verb,1,1.0,1.0
979,puzzle,puzzl,verb,2,-1.0,0.0
980,puzzled,puzzl,anypos,2,-1.0,0.0
981,puzzling,puzzl,anypos,2,-1.0,0.0
982,quack,quack,verb,2,-1.0,0.0
983,qualify,qualifi,verb,1,1.0,0.0
984,quarrel,quarrel,verb,2,-1.0,0.0
985,quash,quash,verb,2,-1.0,0.0
986,quench,quench,verb,1,1.0,0.0
987,questionable,question,anypos,2,-1.0,0.0
988,quibble,quibbl,verb,2,-1.0,0.0
989,quicken,quicken,verb,2,1.0,1.0
990,quit,quit,verb,1,-1.0,0.0
991,racist,racist,anypos,2,-1.0,0.0
992,rack,rack,verb,2,-1.0,0.0
993,radical,radic,anypos,2,-1.0,1.0
994,radically,radic,anypos,2,-1.0,1.0
995,rage,rage,verb,2,-1.0,0.0
996,rail,rail,verb,2,-1.0,0.0
997,rally,ralli,verb,2,1.0,0.0
998,rampage,rampag,verb,2,-1.0,0.0
999,rant,rant,anypos,2,-1.0,0.0
1000,rant,rant,verb,2,-1.0,0.0
1001,rapt,rapt,verb,2,1.0,0.0
1002,rapture,raptur,anypos,2,1.0,0.0
1003,rationalize,ration,verb,2,-1.0,1.0
1004,rattle,rattl,verb,2,-1.0,0.0
1005,ravage,ravag,verb,2,-1.0,0.0
1006,rave,rave,verb,2,1.0,0.0
1007,react,react,verb,1,0.0,1.0
1008,real,real,anypos,1,1.0,1.0
1009,reassure,reassur,verb,2,1.0,0.0
1010,rebuke,rebuk,verb,2,-1.0,0.0
